EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,B__nT_(1min),BX_(GSM)_(@_x-component_)_nT_(1min),BY_(GSM)_(@_y-component_)_nT_(1min),BZ_(GSM)_(@_z-component_)_nT_(1min)
2014-02-14T03:07:30.000Z,6.04906,3.12157,-1.47580,4.96611
2014-02-14T03:08:30.000Z,6.04505,3.09356,-1.78844,4.87172
2014-02-14T03:09:30.000Z,6.03330,3.08190,-1.88898,4.82839
2014-02-14T03:10:30.000Z,6.00715,3.07589,-1.74376,4.85243
2014-02-14T03:11:30.000Z,6.00885,3.13648,-1.62798,4.85766
2014-02-14T03:12:30.000Z,6.02363,3.22989,-1.63328,4.81347
2014-02-14T03:13:30.000Z,5.92575,3.09652,-1.54077,4.80733
2014-02-14T03:14:30.000Z,6.05264,3.26807,-1.29185,4.92649
2014-02-14T03:15:30.000Z,6.04710,3.31481,-1.25899,4.89751
2014-02-14T03:16:30.000Z,6.05922,3.29237,-1.30935,4.91447
2014-02-14T03:17:30.000Z,6.05579,3.19961,-1.29363,4.97430
2014-02-14T03:18:30.000Z,6.02262,3.27937,-0.886243,4.97204
2014-02-14T03:19:30.000Z,6.00082,3.28171,-0.859890,4.94732
2014-02-14T03:20:30.000Z,5.97027,3.25255,-0.887113,4.92474
2014-02-14T03:21:30.000Z,5.96963,3.63835,-0.769068,4.66656
2014-02-14T03:22:30.000Z,5.95241,3.74398,-0.593817,4.58685
2014-02-14T03:23:30.000Z,5.92737,3.44743,-0.450807,4.79854
2014-02-14T03:24:30.000Z,5.91905,3.42920,-0.310142,4.81277
2014-02-14T03:25:30.000Z,5.92391,3.32169,-0.712220,4.85242
2014-02-14T03:26:30.000Z,5.87334,3.33181,-0.796428,4.76864
2014-02-14T03:27:30.000Z,5.72331,3.18943,-1.24148,4.58468
2014-02-14T03:28:30.000Z,5.73377,3.10391,-1.34125,4.62640
2014-02-14T03:29:30.000Z,5.74835,3.12097,-1.21821,4.66509
2014-02-14T03:30:30.000Z,5.77956,3.08160,-1.17976,4.74162
2014-02-14T03:31:30.000Z,5.74093,3.07098,-1.33140,4.66107
2014-02-14T03:32:30.000Z,5.72405,3.04428,-0.490156,4.82131
2014-02-14T03:33:30.000Z,5.71501,3.05151,-0.325082,4.81358
2014-02-14T03:34:30.000Z,5.69624,3.37655,-0.326358,4.56758
2014-02-14T03:35:30.000Z,5.72051,3.66869,-1.20646,4.21601
2014-02-14T03:36:30.000Z,5.73381,3.88038,-1.35516,3.98516
2014-02-14T03:37:30.000Z,5.73483,3.20365,-0.232691,4.66914
2014-02-14T03:38:30.000Z,5.72170,2.45572,0.414495,5.15017
2014-02-14T03:39:30.000Z,5.74450,2.62269,0.245348,5.10430
2014-02-14T03:40:30.000Z,5.73531,2.54826,0.284585,5.12514
2014-02-14T03:41:30.000Z,5.73040,2.24890,0.513680,5.24123
2014-02-14T03:42:30.000Z,5.72677,2.24191,0.364831,5.25070
2014-02-14T03:43:30.000Z,5.71349,2.36737,0.279346,5.18513
2014-02-14T03:44:30.000Z,5.71298,2.58437,0.417654,5.07189
2014-02-14T03:45:30.000Z,5.72175,2.52492,0.241025,5.12430
2014-02-14T03:46:30.000Z,5.71575,2.61353,0.134667,5.07838
2014-02-14T03:47:30.000Z,5.70515,2.88278,0.0453561,4.91498
2014-02-14T03:48:30.000Z,5.68909,3.13066,0.00274155,4.74441
2014-02-14T03:49:30.000Z,5.68143,3.09740,0.116219,4.75845
2014-02-14T03:50:30.000Z,5.68610,2.99187,-0.0820190,4.83024
2014-02-14T03:51:30.000Z,5.69865,2.75939,-0.161779,4.97687
2014-02-14T03:52:30.000Z,5.72718,2.95628,-0.443207,4.88259
2014-02-14T03:53:30.000Z,5.72574,3.01104,-0.490992,4.84270
2014-02-14T03:54:30.000Z,5.71500,3.05415,-0.447486,4.80755
2014-02-14T03:55:30.000Z,5.73548,3.33347,-0.689493,4.60612
2014-02-14T03:56:30.000Z,5.74200,3.23415,-1.14094,4.60314
2014-02-14T03:57:30.000Z,5.68732,3.21431,-0.916284,4.58692
2014-02-14T03:58:30.000Z,5.70022,3.15577,-0.900027,4.64113
2014-02-14T03:59:30.000Z,5.69141,2.78524,-1.19411,4.81168
2014-02-14T04:00:30.000Z,5.69584,3.04272,-1.24900,4.64978
2014-02-14T04:01:30.000Z,5.69375,3.29636,-1.34268,4.43707
2014-02-14T04:02:30.000Z,5.69572,3.40280,-1.18206,4.41153
2014-02-14T04:03:30.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2014-02-14T04:04:30.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2014-02-14T04:05:30.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2014-02-14T04:06:30.000Z,5.77126,3.64405,-0.908706,4.38190
2014-02-14T04:07:30.000Z,5.74348,3.68471,-0.581537,4.36155
