UT__yyyy-mm-ddThh:mm:ss.sssZ,N_ION_MOM_ESA-B__cm^-3_(All_Qs),VX_ION_GSM_MOM_ESA-B_(@_1_)_km/s_(All_Qs),VY_ION_GSM_MOM_ESA-B_(@_2_)_km/s_(All_Qs),VZ_ION_GSM_MOM_ESA-B_(@_3_)_km/s_(All_Qs),TX_ION_FA_MOM_ESA-B_(@_1_)_eV_(All_Qs),TY_ION_FA_MOM_ESA-B_(@_2_)_eV_(All_Qs),TZ_ION_FA_MOM_ESA-B_(@_3_)_eV_(All_Qs)
2009-07-04T15:27:21.776Z,5.7768601,-329.87182,13.813001,-31.796047,26.299074,18.112897,53.433090
2009-07-04T15:27:24.744Z,5.9374054,-324.67317,12.780278,-38.159808,32.777980,25.783989,57.705372
2009-07-04T15:27:27.712Z,6.0979749,-322.84846,11.730826,-34.782046,30.982671,21.927150,54.530979
2009-07-04T15:27:30.679Z,6.0183676,-323.92886,11.933458,-30.908460,25.680977,18.444970,50.889033
2009-07-04T15:27:33.647Z,5.6985292,-328.66170,13.166243,-28.111044,23.288386,18.024148,48.015205
2009-07-04T15:27:36.615Z,5.5388006,-326.07727,12.841615,-27.784879,24.874877,18.338729,54.468386
2009-07-04T15:27:39.583Z,5.8595584,-324.48706,12.265643,-26.263795,22.687796,18.230326,48.430798
2009-07-04T15:27:42.551Z,5.8866970,-322.39445,11.447790,-24.733936,21.229262,20.048604,55.729823
2009-07-04T15:27:45.519Z,5.2730630,-328.28505,10.976346,-23.811136,19.437060,17.813645,56.579162
2009-07-04T15:27:48.487Z,4.9530475,-329.76109,12.145282,-23.643850,27.206036,22.221554,66.422179
2009-07-04T15:27:51.455Z,5.2204514,-327.00208,11.661114,-27.039164,30.783555,23.214710,58.642707
2009-07-04T15:27:54.422Z,5.4611905,-325.26719,11.867904,-28.376785,31.491099,20.834580,56.515704
2009-07-04T15:27:57.390Z,5.7294367,-323.53840,12.679037,-29.399454,29.065204,20.836696,53.579962
2009-07-04T15:28:00.358Z,5.7306313,-321.16731,13.210413,-27.019823,30.629593,21.609754,49.536694
2009-07-04T15:28:03.326Z,5.7585484,-322.06232,13.511493,-24.810209,27.789270,19.597423,48.784646
2009-07-04T15:28:06.294Z,5.8933862,-317.57976,14.057183,-22.708453,27.790324,18.270074,50.226596
2009-07-04T15:28:09.262Z,6.1619437,-319.96948,12.655384,-20.231746,29.273943,17.640119,49.674299
2009-07-04T15:28:12.230Z,5.9493200,-325.77188,11.243568,-22.502305,24.235984,16.959475,49.143347
2009-07-04T15:28:15.198Z,5.5226538,-325.78990,9.4121543,-28.556202,28.601026,18.775592,61.699673
2009-07-04T15:28:18.165Z,5.4168059,-329.81813,10.298051,-30.703074,26.030677,18.240298,51.847298
2009-07-04T15:28:21.133Z,5.5517104,-331.51865,11.147589,-33.706661,27.925878,20.215023,56.199726
2009-07-04T15:28:24.101Z,6.2218861,-324.54018,11.403670,-36.092588,26.872200,19.875557,56.186282
2009-07-04T15:28:27.069Z,5.9822843,-321.21715,12.145075,-31.093062,28.360222,20.774379,53.072195
2009-07-04T15:28:30.037Z,5.9299859,-320.68264,12.444537,-24.136922,27.692839,19.293871,46.166639
2009-07-04T15:28:33.005Z,5.9044420,-321.28873,12.720145,-20.748830,27.659091,19.799032,45.746910
2009-07-04T15:28:35.973Z,6.6020310,-318.32408,11.409681,-15.500265,34.179227,21.352503,45.418605
